delay_ns,amplitude,gain_dB
263.14166,3.927755e-07,-128.11711
321.31943,1.6309942e-06,-115.75095
465.3534,5.381204e-07,-125.382416
1502.6943,6.9096495e-07,-123.21088
605.28625,1.0844084e-06,-119.29615
0.0,0.000109662775,-79.19882
2.5336392,1.0734309e-05,-99.38453
308.44217,6.445227e-06,-103.81524
283.5963,1.9363875e-05,-94.26016
614.00104,2.7750018e-06,-111.134735
614.6443,1.7629999e-06,-115.07496
284.6717,8.949355e-06,-100.96417
309.46588,3.0983897e-06,-110.17728
262.0171,8.8352016e-07,-121.075676
404.7985,1.4370481e-06,-116.85058
405.66125,7.7997794e-07,-122.15836
322.31818,7.998665e-07,-121.93966
263.14166,3.927755e-07,-128.11711
321.31943,1.6309943e-06,-115.75095
465.3534,5.3812033e-07,-125.382416
1502.6943,6.909649e-07,-123.21088
605.28625,1.0844083e-06,-119.29615
0.0,0.00010966278,-79.19882
2.5336392,1.07343085e-05,-99.38453
308.44217,6.4452274e-06,-103.81524
283.5963,1.9363877e-05,-94.26016
614.00104,2.7750013e-06,-111.134735
614.6443,1.7629998e-06,-115.07496
284.6717,8.949355e-06,-100.96417
309.46588,3.0983902e-06,-110.17728
262.0171,8.835201e-07,-121.075676
404.7985,1.4370481e-06,-116.85058
405.66125,7.79978e-07,-122.15836
322.31818,7.998665e-07,-121.93966
263.14166,3.9277552e-07,-128.11711
321.31943,1.6309943e-06,-115.75095
465.3534,5.381204e-07,-125.382416
1502.6943,6.90965e-07,-123.21088
605.28625,1.0844084e-06,-119.29615
0.0,0.00010966278,-79.19882
2.5336392,1.07343085e-05,-99.38453
308.44217,6.445227e-06,-103.81524
283.5963,1.9363875e-05,-94.26016
614.00104,2.775002e-06,-111.134735
614.6443,1.7629998e-06,-115.07496
284.6717,8.949355e-06,-100.96417
309.46588,3.09839e-06,-110.17728
262.0171,8.835201e-07,-121.075676
404.7985,1.437048e-06,-116.85058
405.66125,7.7997794e-07,-122.15836
322.31818,7.998664e-07,-121.93966
263.14166,3.9277555e-07,-128.11711
321.31943,1.6309943e-06,-115.75095
465.3534,5.3812033e-07,-125.382416
1502.6943,6.909649e-07,-123.21088
605.28625,1.0844083e-06,-119.29615
0.0,0.000109662775,-79.19882
2.5336392,1.07343085e-05,-99.38453
308.44217,6.445227e-06,-103.81524
283.5963,1.9363877e-05,-94.26016
614.00104,2.775002e-06,-111.134735
614.6443,1.7629998e-06,-115.07496
284.6717,8.949354e-06,-100.96417
309.46588,3.0983897e-06,-110.17728
262.0171,8.8352e-07,-121.075676
404.7985,1.4370481e-06,-116.85058
405.66125,7.799778e-07,-122.15836
322.31818,7.998665e-07,-121.93966
263.14166,3.9277552e-07,-128.11711
321.31943,1.6309943e-06,-115.75095
465.3534,5.3812033e-07,-125.382416
1502.6943,6.9096495e-07,-123.21088
605.28625,1.0844083e-06,-119.29615
0.0,0.000109662775,-79.19882
2.5336392,1.07343085e-05,-99.38453
308.44217,6.445227e-06,-103.81524
283.5963,1.9363877e-05,-94.26016
614.00104,2.775002e-06,-111.134735
614.6443,1.7629998e-06,-115.07496
284.6717,8.949355e-06,-100.96417
309.46588,3.0983897e-06,-110.17728
262.0171,8.835201e-07,-121.075676
404.7985,1.437048e-06,-116.85058
405.66125,7.799779e-07,-122.15836
322.31818,7.998665e-07,-121.93966
263.14166,3.9277555e-07,-128.11711
321.31943,1.6309943e-06,-115.75095
465.3534,5.3812033e-07,-125.382416
1502.6943,6.9096495e-07,-123.21088
605.28625,1.0844083e-06,-119.29615
0.0,0.00010966277,-79.19882
282.855,2.5215686e-05,-91.96658
5.4759254,5.086759e-05,-85.871185
853.6705,1.2366614e-06,-118.15499
506.24103,1.2216248e-05,-98.26125
507.12125,6.5422096e-06,-103.685524
520.0524,5.36596e-07,-125.40706
263.1464,2.644877e-05,-91.551895
565.0451,3.0460285e-06,-110.325325
1472.5048,7.571835e-07,-122.415985
284.2557,8.9735995e-06,-100.940674
607.9509,3.2345058e-06,-109.80384
608.7036,1.8982473e-06,-114.432945
567.3435,1.030082e-06,-119.74258
506.77933,7.0697242e-06,-103.01196
1944.242,1.5645472e-07,-136.11223
264.62415,8.812323e-06,-101.098206
501.50842,7.0930637e-06,-102.98333
502.39557,3.7713141e-06,-108.470146
507.65875,3.780828e-06,-108.448265
319.0663,5.3524163e-06,-105.429
1443.635,1.2450022e-06,-118.09661
1899.6626,2.4960916e-06,-112.054794
1899.9276,2.0724303e-06,-113.67041
621.44775,5.3011314e-07,-125.51263
595.79846,2.1725586e-07,-133.26057
626.4874,5.2539934e-07,-125.59021
1443.2915,1.5848709e-06,-116.00013
0.0,0.00024245218,-72.30748
282.855,2.521569e-05,-91.96658
5.4759254,5.086759e-05,-85.871185
853.6705,1.2366613e-06,-118.15499
506.24103,1.2216249e-05,-98.26125
507.12125,6.542209e-06,-103.685524
520.0524,5.3659596e-07,-125.40706
263.1464,2.6448768e-05,-91.551895
565.0451,3.0460292e-06,-110.32532
1472.5048,7.571834e-07,-122.41599
284.2557,8.9735995e-06,-100.940674
607.9509,3.2345056e-06,-109.80384
608.7036,1.8982473e-06,-114.432945
567.3435,1.030082e-06,-119.74258
506.77933,7.0697247e-06,-103.01196
1944.242,1.5645473e-07,-136.11223
264.62415,8.812324e-06,-101.09819
501.50842,7.0930632e-06,-102.98333
502.39557,3.7713141e-06,-108.470146
507.65875,3.780828e-06,-108.448265
319.0663,5.3524163e-06,-105.429
1443.635,1.2450021e-06,-118.09661
1899.6626,2.4960914e-06,-112.054794
1899.9276,2.0724306e-06,-113.67041
621.44775,5.3011314e-07,-125.51263
595.79846,2.1725585e-07,-133.26057
626.4874,5.253994e-07,-125.59021
1443.2915,1.5848711e-06,-116.00013
0.0,0.0002424522,-72.30748
282.855,2.521569e-05,-91.96658
5.4759254,5.086759e-05,-85.871185
853.6705,1.2366615e-06,-118.15499
