Position_X,Position_Y,WKNN_IDW_Pred_X,WKNN_IDW_Pred_Y,WKNN_IDW_Error,WKNN_C2F_Pred_X,WKNN_C2F_Pred_Y,WKNN_C2F_Error,NN_Regression_Pred_X,NN_Regression_Pred_Y,NN_Regression_Error,NN_Classification_Pred_X,NN_Classification_Pred_Y,NN_Classification_Error,CNN_Regression_Pred_X,CNN_Regression_Pred_Y,CNN_Regression_Error,Ensemble_Pred_X,Ensemble_Pred_Y,Ensemble_Error
-12.5,55.0,-9.922227910643171,56.84674451703755,3.1710210115789716,-10.9107555961256,55.46691526653155,1.6564140911518246,-16.41297234833455,55.13580490420951,3.915328283916707,27.5,82.5,48.541219597369,-16.009807149613124,57.27389394473235,4.182025812852648,-10.551323429376048,57.8696865404294,3.468780941082959
-40.0,20.0,-34.75194948263927,34.45422125967428,15.377468792242437,-35.58556140544937,35.00928503705363,15.644996178605481,-44.393958622393164,38.793515320388956,19.300339128445323,70.0,70.0,120.83045973594572,-36.78353696593898,4.091958248222394,16.22995461564143,-30.821890758953828,31.210581399722436,14.488437616264212
17.5,75.0,16.002378259177064,75.2635764689135,1.5206391529716803,15.132426274321773,73.15174226182462,3.0035748722558995,14.451063283764848,66.02305465079384,9.480588742385198,-5.0,82.5,23.717082451262844,15.943608634454362,76.8592581702309,2.4247051421390142,14.070023941761928,73.47321907891352,3.754436807442639
32.5,-60.0,18.333333333333332,-4.166666666666666,57.60256552928485,16.270394592157793,-6.915947295731091,55.50960946722522,3.5613315357670707,17.316318925687405,82.55458621240493,-25.0,75.0,146.73530590829188,3.4426465684561105,15.430057636970938,80.83330615261518,8.42950752646001,9.41340477308369,73.4684243067095
72.5,-27.5,73.6477163565183,-25.366521227782247,2.422598709345693,74.7466356311136,-25.889493644207917,2.76425439875492,69.2301090990343,-29.37458803061277,3.769120161089983,52.5,62.5,92.19544457292888,79.72405138591802,-38.68585025406544,13.3157862829335,72.88704420014074,-23.650396044282303,3.8690119964585175
-37.5,10.0,18.333333333333332,-4.166666666666666,57.602565529284846,16.270394592157793,-6.915947295731091,56.36847175068971,3.5613315357670707,17.316318925687405,41.708050423300186,-25.0,75.0,66.19101147436864,3.4426465684561105,15.430057636970938,41.301160201262356,8.42950752646001,9.41340477308369,45.9332532658355
15.0,-10.0,22.775989364989858,-6.524535365902569,8.517327340621433,23.876225377782482,-7.411737090890342,9.245889997391412,22.61335224902357,-17.809639539890732,10.906585268118386,-30.0,47.5,73.01540933255117,19.393389159025343,-5.509185922852874,6.282458068156461,18.863348617917683,-5.584088821654159,5.867344721303345
-32.5,65.0,18.333333333333332,-4.166666666666666,85.83737854545393,16.270394592157793,-6.915947295731091,86.89335339436006,3.5613315357670707,17.316318925687405,59.784220936040185,-25.0,75.0,12.5,3.4426465684561105,15.430057636970938,61.22951108917148,8.42950752646001,9.41340477308369,69.02966141652139
-30.0,0.0,-28.550823193387963,9.970859839887003,10.075622033576575,-28.790702078562422,9.690413007582372,9.765577592765052,-14.29262045431987,35.870145125997965,39.158512274500495,-32.5,72.5,72.54309064273454,-12.283550965037588,39.31809868949941,43.12522986565562,-22.078317508977637,26.219114486115984,27.389688167714272
-17.5,7.5,-14.93425677730933,-6.284281049211723,14.021035708122296,-17.02818086068298,-5.186739431303385,12.695509863649194,-21.483490525435315,3.3230394921946553,5.771931726034049,-15.0,-35.0,42.573465914816005,-28.274023596898104,-14.325092315887145,24.339561192912115,-19.856430936475082,-7.458763139212367,15.143228236193083
35.0,20.0,36.319084305357215,22.115047926073537,2.49267148542035,35.8763845222048,23.054504051224335,3.1777420961597893,37.309348905432515,18.843726817215504,2.5826459378414497,80.0,-57.5,89.6172416446746,32.53019509445634,17.131590341475036,3.7851961957825693,38.42193151092575,15.378042556712296,5.750835232644838
